20,BEGIN,1
20,9,1,258,206,0,64,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,9,2,258,206,0,64,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,9,3,259,206,0,64,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,9,4,259,206,0,64,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,9,5,267,205,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
20,9,6,257,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
20,9,7,262,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
20,9,8,263,206,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
20,9,9,264,205,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
20,9,10,265,205,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
20,9,11,274,205,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
20,9,12,278,206,0,0,0,0,4,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,9,13,278,206,0,0,0,0,4,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,9,14,278,206,0,0,0,0,4,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,9,15,278,206,0,0,0,0,4,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,9,16,261,205,110,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0
20,9,17,266,205,0,0,0,0,4,0,0,40,1,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0
20,9,18,281,206,0,0,0,0,0,2,1,0,250,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,9,19,261,205,36,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,5,1,6,1,0,0,0,0,0,0,0,0
20,9,20,275,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,1,48,0,0,1,64,4,72,0,0,0,0,6,6,113,113,113,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,2,20,16,0,3,0,0,64,0,0,0,0,1,6,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,3,20,16,0,3,0,0,64,0,0,0,0,1,6,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
